metric,value
alpha_usd,4.573178844478078
beta,0.3345052215721194
training_r_squared,0.9603703365896559
adf_statistic,-2.6295408718220212
adf_pvalue,0.08704416554527283
engle_granger_statistic,-2.6307450869242675
engle_granger_pvalue,0.225468572444594
cointegration_passed,0.0
completed_trades,13.0
win_rate,0.3076923076923077
gross_pnl_usd,-34869.180241334034
total_cost_usd,11359.098257021415
net_pnl_usd,-46228.278498355445
total_return,-0.4622827849835549
annualized_sharpe,-1.7684509027937907
maximum_drawdown,-0.4731251353812501
